employee_id,age,gender,marital_status,salary,employment_type,region,has_dependents,tenure_years,enrolled
18895,41,Male,Married,48878.18,Full-time,West,Yes,5.3,1
18675,52,Female,Married,53258.61,Full-time,South,Yes,4.9,1
12387,36,Female,Divorced,70308.46,Full-time,South,Yes,0.8,1
16078,23,Female,Single,71843.69,Full-time,Northeast,No,2.8,0
16944,47,Other,Divorced,55029.67,Part-time,South,No,2.0,0
14719,38,Female,Single,57968.44,Contract,Midwest,Yes,5.1,0
18526,33,Male,Single,81786.87,Full-time,Midwest,No,2.4,1
13226,63,Male,Divorced,49995.79,Full-time,Midwest,No,2.3,0
14127,53,Female,Divorced,85141.12,Full-time,Midwest,No,3.1,1
13829,28,Male,Married,75342.35,Part-time,West,Yes,3.2,0
11586,27,Female,Married,50778.29,Part-time,Midwest,No,0.4,0
18547,36,Female,Married,73234.77,Contract,Northeast,No,6.5,0
14099,23,Male,Single,59656.3,Full-time,Midwest,Yes,6.6,0
17167,56,Female,Single,62438.55,Contract,Midwest,No,1.2,0
14951,63,Female,Single,72990.6,Part-time,Midwest,No,2.8,0
18562,59,Male,Single,84543.29,Part-time,Northeast,Yes,3.2,1
13449,33,Male,Single,57706.92,Full-time,Midwest,No,3.3,0
16751,44,Female,Single,85772.58,Full-time,Northeast,Yes,2.5,1
10519,34,Male,Married,52665.53,Part-time,South,Yes,1.3,0
19286,40,Male,Married,51842.38,Full-time,Midwest,Yes,3.8,1
12116,59,Female,Married,42514.03,Full-time,South,Yes,3.1,1
13542,59,Female,Married,75529.35,Full-time,South,Yes,10.0,1
14102,22,Female,Married,69015.71,Full-time,Midwest,Yes,4.7,1
13979,61,Male,Married,85998.83,Full-time,South,No,0.5,1
14425,37,Male,Single,57590.29,Full-time,West,Yes,7.6,1
12924,27,Female,Married,78966.3,Full-time,South,Yes,1.6,1
15424,30,Female,Single,55301.01,Full-time,West,Yes,0.9,0
12059,30,Female,Divorced,71514.17,Part-time,Northeast,No,4.4,0
15614,47,Female,Married,54419.46,Full-time,Midwest,No,1.3,0
18590,32,Male,Divorced,72513.79,Part-time,Midwest,No,1.0,0
15469,54,Female,Married,48099.37,Full-time,Midwest,Yes,1.2,1
16834,62,Male,Married,42908.21,Part-time,Midwest,No,5.9,0
10873,23,Male,Married,72259.84,Full-time,South,No,3.2,0
13624,29,Female,Married,66855.68,Full-time,Midwest,No,23.7,0
16707,63,Male,Married,58537.1,Contract,Northeast,Yes,15.6,0
17249,59,Male,Married,84001.62,Full-time,Northeast,No,4.2,1
17368,51,Male,Divorced,73006.37,Full-time,West,No,11.0,1
16084,27,Male,Married,72957.54,Full-time,Northeast,Yes,2.5,1
18748,47,Male,Married,33515.39,Full-time,West,Yes,3.0,1
11152,44,Male,Single,60038.91,Part-time,Northeast,Yes,4.7,1
11758,40,Female,Single,71494.49,Part-time,Midwest,No,1.2,0
11262,50,Male,Married,57126.38,Full-time,South,Yes,2.6,1
12011,36,Female,Single,82136.07,Contract,West,No,1.8,0
18994,64,Female,Single,99496.67,Full-time,Midwest,Yes,7.7,1
16454,55,Female,Single,60418.69,Full-time,South,Yes,3.3,1
11096,64,Male,Single,51426.2,Full-time,West,No,6.9,0
10374,27,Male,Single,63417.06,Part-time,Midwest,Yes,3.3,0
19925,53,Other,Married,51679.56,Full-time,West,Yes,25.2,1
17188,36,Male,Married,62707.51,Part-time,West,Yes,0.8,1
13478,40,Male,Married,69291.14,Full-time,West,Yes,2.0,1
16049,51,Female,Single,75477.97,Part-time,Northeast,Yes,2.1,1
10061,39,Female,Divorced,80315.69,Full-time,Midwest,Yes,8.8,1
14405,36,Female,Single,34564.68,Full-time,West,No,6.1,0
12496,50,Male,Single,39230.64,Full-time,Midwest,No,0.9,0
17341,39,Male,Divorced,85094.2,Full-time,Midwest,Yes,6.9,1
10968,36,Female,Widowed,69266.79,Full-time,Midwest,Yes,2.4,1
17166,29,Female,Single,56353.24,Full-time,West,Yes,5.9,0
14083,56,Female,Single,60883.1,Full-time,South,Yes,2.7,1
12888,36,Female,Single,44680.92,Full-time,Midwest,Yes,0.0,1
13995,29,Female,Married,88094.52,Full-time,West,Yes,1.7,1
13383,52,Male,Married,35675.62,Full-time,Northeast,No,5.9,0
17335,29,Other,Divorced,59647.54,Full-time,West,Yes,9.2,0
19117,57,Female,Single,74944.19,Full-time,South,No,4.9,1
17583,28,Female,Single,54255.8,Contract,West,No,0.3,0
13433,31,Male,Married,53707.43,Contract,South,Yes,1.8,0
16733,27,Female,Married,79081.16,Full-time,West,No,4.6,0
17121,39,Female,Married,48469.6,Contract,South,No,0.6,0
11832,57,Male,Single,49226.49,Full-time,Northeast,No,0.2,0
11033,47,Female,Married,68372.74,Full-time,West,No,4.1,1
12802,39,Female,Single,65957.94,Full-time,West,Yes,1.1,1
13074,42,Male,Divorced,48321.7,Contract,Midwest,No,9.3,0
17149,39,Female,Divorced,75264.11,Full-time,Midwest,Yes,3.2,1
19410,57,Female,Married,46570.34,Full-time,West,No,0.1,0
16088,32,Female,Single,41553.41,Part-time,Midwest,Yes,1.7,0
11645,50,Female,Married,83206.58,Contract,Midwest,No,0.3,0
19620,46,Female,Single,51832.45,Full-time,South,Yes,2.8,1
16778,54,Male,Single,57645.33,Contract,Northeast,No,0.2,0
16326,48,Female,Single,61946.45,Full-time,West,No,8.9,1
14468,49,Male,Married,65559.9,Full-time,Midwest,No,7.1,1
18253,55,Female,Single,66494.84,Contract,Midwest,Yes,7.6,1
15161,63,Male,Single,57025.67,Full-time,South,No,0.8,0
16889,28,Female,Single,102891.24,Part-time,Midwest,Yes,17.0,0
19631,25,Female,Married,54977.1,Full-time,South,No,2.0,0
19099,38,Female,Single,59233.39,Full-time,West,Yes,9.8,1
10976,61,Female,Single,53838.29,Full-time,Northeast,Yes,3.2,1
